State,City,College,NCAA_Team
OH,Akron,The University of Akron,Akron Zips
IA,Ames,Iowa State University,Iowa State Cyclones
MI,Ann Arbor,The University of Michigan,Michigan Wolverines
OH,Athens,Ohio University,Ohio Bobcats
TX,Austin,The University of Texas at Austin,Texas Longhorns
VA,Blacksburg,Virginia Polytechnic Institute and State University,Virginia Tech Hokies
ID,Boise,Boise State University,Boise State Broncos
SC,Clemson,Clemson University,Clemson Tigers
CO,Colorado Springs,United States Air Force Academy,Air Force Falcons
SC,Columbia,The University of South Carolina,South Carolina Gamecocks
OH,Columbus,The Ohio State University,Ohio State Buckeyes
TX,Denton,The University of North Texas,North Texas Mean Green
MI,East Lansing,Michigan State University,Michigan State Spartans
AR,Fayetteville,University of Arkansas,Arkansas Razorbacks
WV,Huntington,Marshall University,Marshall Thundering Herd
IA,Iowa City,The University of Iowa,Iowa Hawkeyes
AR,Jonesboro,Arkansas State University,Arkansas State Red Wolves
MI,Kalamazoo,Western Michigan University,Western Michigan Broncos
KS,Lawrence,The University of Kansas,Kansas Jayhawks
UT,Logan,Utah State University,Utah State Aggies
TX,Lubbock,Texas Tech University,Texas Tech Red Raiders
WV,Morgantown,West Virginia University,West Virginia Mountaineers
ID,Moscow,The University of Idaho,Idaho Vandals
MI,Mount Pleasant,Eastern Michigan University,Eastern Michigan Eagles
TN,Murfreesboro,Middle Tennessee State University,Middle Tennessee Blue Raiders
UT,Provo,Brigham Young University,BYU Cougars